Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",85.000000,-42.500000,90.000000,bottom
"C2","10uF","C_0805_2012Metric",85.000000,-39.000000,90.000000,bottom
"C3","100nF","C_0603_1608Metric",87.750000,-42.500000,90.000000,bottom
"C4","100nF","C_0603_1608Metric",87.750000,-39.000000,90.000000,bottom
"C5","100pF","C_0603_1608Metric",116.000000,-130.000000,90.000000,bottom
"C6","18pF","C_0603_1608Metric",120.500000,-133.750000,-90.000000,bottom
"C7","18pF","C_0603_1608Metric",111.250000,-133.750000,90.000000,bottom
"C8","100pF","C_0603_1608Metric",117.500000,-141.500000,90.000000,bottom
"C9","18pF","C_0603_1608Metric",119.750000,-136.750000,0.000000,bottom
"C10","10nF","C_0603_1608Metric",101.000000,-143.000000,180.000000,bottom
"C11","10nF","C_0603_1608Metric",101.000000,-130.500000,180.000000,bottom
"C12","100nF","C_0603_1608Metric",103.500000,-134.972000,-90.000000,bottom
"C13","100nF","C_0603_1608Metric",69.500000,-126.750000,-90.000000,bottom
"C14","100nF","C_0603_1608Metric",107.250000,-137.044000,0.000000,bottom
"C16","100nF","C_0603_1608Metric",118.750000,-133.750000,-90.000000,bottom
"C17","18pF","C_0603_1608Metric",113.000000,-141.500000,90.000000,bottom
"C18","100nF","C_0603_1608Metric",111.250000,-137.750000,-90.000000,bottom
"C21","10uF","CP_EIA-3216-10_Kemet-I",79.500000,-131.000000,90.000000,bottom
"C26","220pF","C_0603_1608Metric",79.250000,-123.500000,90.000000,bottom
"C28","100nF","C_0603_1608Metric",72.750000,-120.750000,180.000000,bottom
"C29","100nF","C_0603_1608Metric",76.250000,-128.250000,180.000000,bottom
"C30","10uF","CP_EIA-3216-10_Kemet-I",71.500000,-131.000000,90.000000,bottom
"C31","100nF","C_0603_1608Metric",79.250000,-126.750000,-90.000000,bottom
"C32","220pF","C_0603_1608Metric",69.500000,-123.500000,90.000000,bottom
"D1","S1B","D_SOD-123",91.250000,-42.750000,0.000000,bottom
"D2","S1B","D_SOD-123",91.250000,-38.750000,180.000000,bottom
"D4","BZT52C3V3T-7","D_SOD-523",105.250000,-146.000000,0.000000,bottom
"D5","BZT52C3V3T-7","D_SOD-523",105.500000,-127.500000,90.000000,bottom
"J1","IDC","IDC-Header_2x05_P2.54mm_Vertical",117.330000,-43.252500,90.000000,bottom
"J11","SYM_Arrow45_Tiny","REF",-102.500000,-75.750000,180.000000,bottom
"J12","SYM_Arrow45_Tiny","REF",-102.500000,-95.750000,180.000000,bottom
"J13","SYM_Arrow45_Tiny","REF",-55.500000,-95.750000,90.000000,bottom
"J14","SYM_Arrow45_Tiny","REF",-55.500000,-75.750000,90.000000,bottom
"J15","SYM_Arrow45_Tiny","REF",-95.500000,-95.750000,180.000000,bottom
"L1","FB","R_0805_2012Metric",95.750000,-42.750000,180.000000,bottom
"L2","FB","R_0805_2012Metric",95.750000,-38.750000,180.000000,bottom
"Q1","MMBT3904","SOT-23",90.000000,-134.250000,-90.000000,bottom
"Q2","MMBT3904","SOT-23",90.000000,-143.500000,-90.000000,bottom
"R1","18k","R_0603_1608Metric",113.500000,-125.250000,180.000000,bottom
"R2","18k","R_0603_1608Metric",117.000000,-125.250000,180.000000,bottom
"R3","66.5k","R_0603_1608Metric",114.500000,-130.000000,90.000000,bottom
"R4","66.5k","R_0603_1608Metric",117.500000,-130.000000,90.000000,bottom
"R5","100k","R_0603_1608Metric",90.000000,-129.500000,0.000000,bottom
"R6","1M","R_0603_1608Metric",90.000000,-131.250000,180.000000,bottom
"R7","10k","R_0603_1608Metric",87.500000,-134.500000,90.000000,bottom
"R8","1k","R_0603_1608Metric",86.000000,-134.500000,90.000000,bottom
"R9","100R","R_0603_1608Metric",94.000000,-113.500000,90.000000,bottom
"R10","100k","R_0603_1608Metric",90.000000,-138.750000,0.000000,bottom
"R11","1M","R_0603_1608Metric",90.000000,-140.500000,180.000000,bottom
"R12","10k","R_0603_1608Metric",87.500000,-143.750000,90.000000,bottom
"R13","1k","R_0603_1608Metric",86.000000,-143.750000,90.000000,bottom
"R14","15k","R_0603_1608Metric",81.000000,-123.500000,-90.000000,bottom
"R15","330R","R_0603_1608Metric",94.000000,-67.500000,90.000000,bottom
"R16","0R","R_0805_2012Metric",101.750000,-121.500000,-90.000000,bottom
"R17","1k","R_0603_1608Metric",69.500000,-118.250000,-90.000000,bottom
"R18","100R","R_0603_1608Metric",107.250000,-127.500000,90.000000,bottom
"R19","0R","R_0603_1608Metric",111.250000,-145.250000,90.000000,bottom
"R20","33k","R_0603_1608Metric",101.000000,-141.500000,180.000000,bottom
"R21","200k","R_0603_1608Metric",101.000000,-144.500000,0.000000,bottom
"R22","100k","R_0603_1608Metric",97.750000,-141.500000,180.000000,bottom
"R23","33k","R_0603_1608Metric",101.000000,-132.000000,180.000000,bottom
"R24","200k","R_0603_1608Metric",101.000000,-129.000000,0.000000,bottom
"R25","2k","R_0603_1608Metric",107.250000,-138.750000,180.000000,bottom
"R26","100k","R_0603_1608Metric",97.750000,-132.000000,180.000000,bottom
"R27","100R","R_0603_1608Metric",105.250000,-144.500000,0.000000,bottom
"R28","0R","R_0603_1608Metric",120.250000,-145.250000,90.000000,bottom
"R29","66.5k","R_0603_1608Metric",67.750000,-126.750000,-90.000000,bottom
"R31","39k","R_0603_1608Metric",120.000000,-128.500000,0.000000,bottom
"R32","100R","R_0603_1608Metric",102.250000,-62.750000,-90.000000,bottom
"R33","39k","R_0603_1608Metric",113.000000,-130.000000,-90.000000,bottom
"R34","100R","R_0603_1608Metric",114.750000,-90.750000,90.000000,bottom
"R35","100R","R_0603_1608Metric",109.750000,-130.000000,-90.000000,bottom
"R36","100R","R_0603_1608Metric",114.750000,-68.000000,90.000000,bottom
"R37","18k","R_0603_1608Metric",113.500000,-146.250000,180.000000,bottom
"R38","100R","R_0603_1608Metric",94.000000,-86.750000,90.000000,bottom
"R39","18k","R_0603_1608Metric",117.000000,-146.250000,180.000000,bottom
"R40","100R","R_0603_1608Metric",73.250000,-106.750000,90.000000,bottom
"R41","39k","R_0603_1608Metric",120.500000,-139.000000,90.000000,bottom
"R42","100R","R_0603_1608Metric",104.000000,-62.750000,-90.000000,bottom
"R43","66.5k","R_0603_1608Metric",116.000000,-141.500000,-90.000000,bottom
"R44","100R","R_0603_1608Metric",100.500000,-62.750000,-90.000000,bottom
"R45","66.5k","R_0603_1608Metric",119.000000,-139.000000,-90.000000,bottom
"R46","100R","R_0603_1608Metric",73.250000,-90.750000,90.000000,bottom
"R47","39k","R_0603_1608Metric",114.500000,-141.500000,90.000000,bottom
"R48","100R","R_0603_1608Metric",114.750000,-106.750000,90.000000,bottom
"R49","100R","R_0603_1608Metric",109.750000,-141.500000,90.000000,bottom
"R58","330R","R_0603_1608Metric",83.750000,-134.500000,-90.000000,bottom
"R64","66.5k","R_0603_1608Metric",81.000000,-126.750000,-90.000000,bottom
"R65","10k","R_0603_1608Metric",103.500000,-138.500000,-90.000000,bottom
"R66","10k","R_0603_1608Metric",103.750000,-127.500000,-90.000000,bottom
"R67","15k","R_0603_1608Metric",67.750000,-123.500000,-90.000000,bottom
"R70","1k","R_0603_1608Metric",67.750000,-118.250000,-90.000000,bottom
"U1","ES_DAISY_SEED2_DFM","DAISY_SEED2",84.000000,-115.015000,0.000000,bottom
"U2","TL072","SO-8_3.9x4.9mm_P1.27mm",74.500000,-124.500000,180.000000,bottom
"U3","MCP6002","SOIC-8_3.9x4.9mm_P1.27mm",99.500000,-136.750000,90.000000,bottom
"U5","LM4040DBZ-10","SOT-23",107.250000,-134.250000,90.000000,bottom
"U8","TL072","SO-8_3.9x4.9mm_P1.27mm",115.000000,-135.750000,-90.000000,bottom
"D3","Clip/Sync","LED_D3.0mm",78.750000,-137.500000,0.000000,top
"J2","Play • Rec","THONKICONN",87.750000,-130.500000,-90.000000,top
"J4","Tap • Clock","THONKICONN",87.750000,-142.250000,-90.000000,top
"J5","AUDIO OUT L","THONKICONN",116.250000,-130.500000,90.000000,top
"J6","AUDIO OUT R","THONKICONN",116.250000,-142.250000,90.000000,top
"J7","CV A","THONKICONN_ST",100.250000,-130.500000,90.000000,top
"J8","Input L","THONKICONN",71.750000,-130.500000,-90.000000,top
"J9","CV B","THONKICONN_ST",100.250000,-142.250000,90.000000,top
"J16","Input R","THONKICONN",71.750000,-142.250000,-90.000000,top
"RV1","10k","R0904N",73.250000,-49.750000,0.000000,top
"RV2","10k","R0904N",114.750000,-68.250000,0.000000,top
"RV3","10k","POT_ALPS",94.000000,-82.000000,90.000000,top
"RV4","10k","R0904N",114.750000,-86.750000,0.000000,top
"RV5","10k","R0904N",73.250000,-102.750000,0.000000,top
"RV6","10k","R0904N",73.250000,-68.250000,0.000000,top
"RV7","10k","R0904N",73.250000,-86.750000,0.000000,top
"RV8","10k","R0904N",114.750000,-102.750000,0.000000,top
"RV9","10k","POT_ALPS",94.000000,-47.250000,90.000000,top
"RV10","10k","POT_ALPS",94.000000,-109.750000,90.000000,top
"SW1","Filter Type","SW_DWB1",112.250000,-117.000000,90.000000,top
"SW2","Patch Eq","SW_DWB1",75.750000,-117.000000,90.000000,top
"SW3","Tap Delay","D6R00F_LED",94.000000,-65.750000,180.000000,top
"SW6","Stereo Mode","SW_Slide_1P2T_CK_OS102011MS2Q",103.250000,-98.000000,90.000000,top
"SW7","Knob Rec","SW_Slide_1P2T_CK_OS102011MS2Q",84.750000,-98.000000,90.000000,top
"SW8","Mod Control","SW_Slide_1P2T_CK_OS102011MS2Q",82.250000,-79.500000,90.000000,top
"SW9","Both / Right Only","SW_Slide_1P2T_CK_OS102011MS2Q",107.500000,-61.000000,90.000000,top
"SW10","Multiplier","SW_DWB1",114.750000,-49.750000,90.000000,top
